name,latitude,longitude,source,category,specialties,emergency,total_beds,contact
Raffels Hospital,30.6815459,76.8485981,Merged (OSM+National),0,0,No,157,0.0
"Rana Hospital, Panchkula",30.8362613,76.9384682,Merged (OSM+National),0,0,No,51,0.0
Gokul Surgical Hospital,30.6821064,76.837479,Merged (OSM+National),0,0,No,116,0.0
Orthomax Bone and Joint Hospital,30.6855562,76.840692,Merged (OSM+National),0,0,No,40,0.0
J N Shori Multi Speciality Hospital,30.7995282,76.9104941,Merged (OSM+National),0,0,No,161,0.0
Chakravarty Polyclinics,30.688542,76.8503791,Merged (OSM+National),Private,,Yes,95,0.0
Drishti Eye Hospital,30.6882191,76.8500331,Merged (OSM+National),Private,Eye Care,No,232,0.0
"Aarogya Hospital, Panchkula",30.6747627,76.8513863,Merged (OSM+National),0,0,Yes,180,0.0
"Phoenix Hospital, Panchkula",30.6958386,76.8381751,Merged (OSM+National),Private,"Ayurvedic and Naturopathy,\nCardiology, Chiropractics, Dentistry,\nDermatology, Endocrinology, Ent, Gynaecology\nGynaecology and Obstetrics, Medicine, Neurology, Neuro- Psychiatry, Neuro-Surgery,\nOphthalmology, Orthopedic\nPathology, Physiotherapy, Plastic Surgery, Psychiatry, Radiology, Surgery, Urology, Vascular Medicine\nVascular Surgery",Yes,178,0.0
Happy Family Maternitys Children Hospital Pvt Ltd,30.7158261,76.8389341,Merged (OSM+National),0,0,No,246,0.0
Khera Hospital,30.7983705,76.9160517,Merged (OSM+National),0,0,No,240,0.0
Grecian Hospital,30.6913534,76.7234401,Merged (OSM+National),Public/ Government,,Yes,670,0.0
Shivalik Hospital and ACE Heart & Vascular Institute,30.6949448,76.7214158,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,167,0.0
"Kaushal Hospital, Chandigarh",30.722908,76.7447786,Merged (OSM+National),0,0,No,69,0.0
"JP Hospital, Zirakpur",30.6613553,76.8184454,Merged (OSM+National),Private,,Yes,200,0.0
"Amar Hospital, Rupnagar",30.6963019,76.7166442,Merged (OSM+National),Public/ Government,,Yes,371,0.0
Sri Guru Harkrishan Sahib (C) Eye Institute And Super Speciality Hospital,30.6928937,76.6990759,Merged (OSM+National),0,0,No,31,0.0
"Indus Hospital,S.A.S Nagar",30.7089593,76.7224681,Merged (OSM+National),Private,,No,189,0.0
Chawla Nursing Home,30.7083398,76.7240842,Merged (OSM+National),0,0,Yes,78,0.0
Sri Sukhmani Multi Speciality Hospital,30.5750227,76.8413595,Merged (OSM+National),Private,,Yes,217,0.0
Chaudhary Hospital,30.8292219,76.5774234,Merged (OSM+National),Private,General and Laparoscopic Surgery\nOrthopaedic\nUrology\nRadiology\nENT\nPlastic Surgery\nPhysiotherapy,No,94,0.0
"Kaushal Hospital, Mohali",30.7442722,76.6511232,Merged (OSM+National),0,0,No,40,0.0
"J P Eye Hospital, Rupnagar",30.7068665,76.7262127,Merged (OSM+National),Public/ Government,,Yes,1175,0.0
Max Super Speciality Hospital-Mohali,30.7399592,76.7141873,Merged (OSM+National),Private,Obstetrics and Gynaecology,Yes,79,0.0
Ujjawal Eye Care,30.6602892,76.8189102,Merged (OSM+National),0,0,Yes,241,0.0
Adityaj Hospital And Laboratory,30.7281801,76.7222806,Merged (OSM+National),Public/ Government,,Yes,403,0.0
Singla Medicare Clinic,30.7268339,76.7209649,Merged (OSM+National),0,0,No,117,0.0
"Sharma Hospital, S.A.S Nagar",30.744963,76.643945,Merged (OSM+National),0,0,Yes,91,0.0
Chaitanya Public Hospital,30.6609356,76.8290502,Merged (OSM+National),Public/ Government,0,Yes,764,0.0
Behgal Multispecialty Hospital,30.7018339,76.682568,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,182,0.0
Gupta Hospital - Kurali,30.8250222,76.5835528,Merged (OSM+National),0,0,No,233,0.0
Liberty Hospital,30.7113143,76.719109,Merged (OSM+National),Public/ Government,,Yes,673,0.0
Indus Super Speciality Hospital,30.7292572,76.7221481,Merged (OSM+National),Private,,No,61,0.0
"Dr. Sodhi's Health Care, Multispeciality Hospital- Mohali",30.7129964,76.718298,Merged (OSM+National),Private,,No,114,0.0
Police Hospital,30.7232383,76.8122966,Merged (OSM+National),Public/ Government,,Yes,663,0.0
ESIC Hospital Ramdarbar,30.696743,76.787964,Merged (OSM+National),Public/ Government,,No,514,0.0
Composite Hospital I.T.B.P,30.677988,76.807281,Merged (OSM+National),Public/ Government,,Yes,986,0.0
Civil Hospital SAS Nagar (Mohali),30.7393128,76.7138728,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,88,0.0
Civil Hospital Chando Gobindgarh,30.77575,76.665423,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,199,0.0
"Civil Hospital, Kharar",30.753057,76.632847,Merged (OSM+National),Public/ Government,,Yes,999,0.0
"Government Hospital, Gharuan",30.775207,76.557961,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,185,0.0
"Civil Hospital, Dera Bassi",30.5848605,76.8452066,Merged (OSM+National),Public/ Government,,No,373,0.0
Civil Hospital Kalka,30.8384656,76.9380732,Merged (OSM+National),Public/ Government,,Yes,923,0.0
Cloudnine Hospital,30.7001359,76.7875764,Merged (OSM+National),Public/ Government,,Yes,950,0.0
Babe Ke Hospital And IMT,30.724507,76.732464,Merged (OSM+National),Public/ Government,,No,475,0.0
Nirmal Dr. Bhasin Jannee Fertility Centre,30.7421389,76.7356685,Merged (OSM+National),Private,,No,156,0.0
Dr. Ashok Sharma's Cornea Centre,30.7276054,76.7694571,Merged (OSM+National),Private,,Yes,206,0.0
Dr. Chandan Trikha Homeopathic Hospital,30.7127888,76.7774089,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,82,0.0
Pandhi Hospital,30.7266382,76.752325,Merged (OSM+National),Public/ Government,,Yes,467,0.0
Dr. Priyanka Sharma Gynaecologist,30.735249,76.800628,Merged (OSM+National),0,0,No,138,0.0
Chd City Hospital,30.7417091,76.7942557,Merged (OSM+National),Public/ Government,,Yes,688,0.0
Guru Nanak Multispeciality Hospital,30.7255395,76.7622902,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,89,0.0
Kaushal Clinic & Clinical Lab,30.7525838,76.7173534,Merged (OSM+National),0,0,No,183,0.0
Fortis Medcentre Hospital,30.7606212,76.7820366,Merged (OSM+National),Public/ Government,,Yes,1004,0.0
Chhuttani Medical Centre - Psychiatrist & De-addiction Centre,30.740194,76.782629,Merged (OSM+National),0,0,No,162,0.0
ARV Othopaedic Hospital,30.7264061,76.7732467,Merged (OSM+National),Public/ Government,,Yes,524,0.0
Eden Hospital,30.7091481,76.8027108,Merged (OSM+National),Public/ Government,,Yes,1001,0.0
Mamta Child Health Care Centre,30.7313883,76.7849987,Merged (OSM+National),Private,,No,103,0.0
Sarhind Orthopaedic Multispeciality Medical Centre,30.7134331,76.7687413,Merged (OSM+National),Private,,No,235,0.0
Kaushal Hospital,30.5635458,76.9399662,Merged (OSM+National),0,0,No,216,0.0
AM Eye Hospital,30.6634302,76.8780496,Merged (OSM+National),Public/ Government,,Yes,1094,0.0
SK Multispeciality Hospital,30.7518877,76.6394943,Merged (OSM+National),0,0,No,34,0.0
Dr. Amandeep Singh Eye Hospital,30.7507088,76.631997,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,78,0.0
Medgenius Multispeciality Hospital,30.7571346,76.6692943,Merged (OSM+National),Private,Obstetrics and Gynaecology,Yes,230,0.0
Gill Nursing Home,30.7474037,76.6437132,Merged (OSM+National),0,0,Yes,28,0.0
Tricity Eye Hospital,30.7415574,76.676007,Merged (OSM+National),Public/ Government,,No,1124,0.0
Prime Hospital,30.7431579,76.675443,Merged (OSM+National),Public/ Government,,Yes,623,0.0
Metropolis The Pathology Specialist,30.8134214,76.7033657,OSM-Only,,,No,122,
"Goyal Hospital, Kurali",30.8383677,76.5741181,Merged (OSM+National),Public/ Government,,No,574,0.0
Chhabra Hospital,30.7489542,76.6746749,Merged (OSM+National),Public/ Government,,Yes,367,0.0
Highland Hospital,30.7528704,76.6327599,Merged (OSM+National),Public/ Government,,Yes,516,0.0
Apex Hospital,30.755853,76.646075,Merged (OSM+National),Public/ Government,,Yes,880,0.0
General Hospital,30.8217119,76.7495564,Merged (OSM+National),Public/ Government,,Yes,1197,0.0
Omega Hospital,30.7419196,76.6663574,Merged (OSM+National),Public/ Government,,No,1035,0.0
Mehta Hospital,30.7506601,76.6310155,Merged (OSM+National),Public/ Government,,Yes,622,0.0
Manjeet Laser Eye Hospital,30.8293958,76.578029,Merged (OSM+National),Public/ Government,,Yes,517,0.0
City Hospital,30.746714,76.6473721,Merged (OSM+National),0,0,No,187,0.0
HMS Child Speciality Hospital,30.7596607,76.6647488,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,147,0.0
Gupta Eyes Hospital,30.7496613,76.6369177,Merged (OSM+National),0,0,No,121,0.0
Midha Care Hospital,30.822595,76.584278,Merged (OSM+National),Public/ Government,,Yes,958,0.0
Aditya Multispeciality Hospital & Hair Transplant Centre,30.7438899,76.6663259,Merged (OSM+National),Private,,Yes,137,0.0
Sharma Multispeciality Hospital,30.7459474,76.6438966,Merged (OSM+National),0,0,No,56,0.0
Dhawan Nursing Home,30.7480455,76.6412075,Merged (OSM+National),0,0,No,87,0.0
Hamdard Ayurvedic Hospital,30.7454318,76.6744628,Merged (OSM+National),Public/ Government,,Yes,442,0.0
Deep Kamal Hospital & Maternity Home,30.7460047,76.6494491,Merged (OSM+National),Private,Obstetrics and Gynaecology,Yes,83,0.0
Ziva Hospital,30.7421112,76.6694651,Merged (OSM+National),Public/ Government,,Yes,1062,0.0
Homi Bhabha Cancer Hospital and Research Centre,30.818388,76.742453,Merged (OSM+National),Private,,Yes,163,0.0
Gupta Hospital,30.8269942,76.582317,Merged (OSM+National),0,0,No,157,0.0
Bio Health Hospital,30.743243,76.648565,Merged (OSM+National),Public/ Government,,Yes,569,0.0
Bhupindera Hospital,30.7293185,76.6946351,Merged (OSM+National),Public/ Government,,Yes,1064,0.0
Universal Institute & Charitable Hospiital,30.6835144,76.7239832,Merged (OSM+National),0,0,No,169,0.0
Sohana Hospital,30.6929705,76.6991318,Merged (OSM+National),0,0,No,129,0.0
BSF Hospital,30.6974519,76.6787902,Merged (OSM+National),Public/ Government,,Yes,897,0.0
R.P Hospital,30.641623,76.6847139,Merged (OSM+National),0,0,No,122,0.0
Pancham Hospital,30.7327758,76.6821046,Merged (OSM+National),Public/ Government,,Yes,670,0.0
Rajeev Eye Hospital,30.762975,76.6303954,Merged (OSM+National),Public/ Government,,Yes,524,0.0
Chahal Hospital,30.681651,76.743628,Merged (OSM+National),Public/ Government,,Yes,441,0.0
Healthsure Multispeciality Hospital,30.7786156,76.5570789,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,150,0.0
Shri Guru Nanak Dev Ji Hospital,30.732474,76.6954045,Merged (OSM+National),Private,Obstetrics and Gynaecology,Yes,146,0.0
Dr. Amritpal Hospital,30.7132075,76.7174706,Merged (OSM+National),Public/ Government,,No,393,0.0
Gopal Hospital,30.7076598,76.7236138,Merged (OSM+National),Public/ Government,,Yes,1073,0.0
Grand Hospital,30.684294,76.7426798,Merged (OSM+National),0,0,Yes,32,0.0
Vinod Hospital,30.7334425,76.6682592,Merged (OSM+National),Private,,No,240,0.0
Trauma and Emergency Critical Care,30.6916662,76.721233,Merged (OSM+National),Public/ Government,,Yes,412,0.0
Aayush Hospital,30.7319944,76.6938804,Merged (OSM+National),Public/ Government,,Yes,456,0.0
NuLife Hospital,30.7336013,76.646976,Merged (OSM+National),Public/ Government,,Yes,942,0.0
Mehar Hospital,30.8157042,76.5761415,Merged (OSM+National),Public/ Government,,Yes,463,0.0
Rayat Bahra SuperSpeciality Hospital,30.7749848,76.619988,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,222,0.0
Trehan Hospital,30.679541,76.724947,Merged (OSM+National),0,0,Yes,194,0.0
Mayo Healthcare Super Speciality Hospital,30.691547,76.716421,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,128,0.0
I- Med Hospital,30.6813262,76.744445,Merged (OSM+National),Public/ Government,,Yes,910,0.0
Harmony Hospital,30.7197223,76.7056832,Merged (OSM+National),Public/ Government,,Yes,365,0.0
Dhingra Hospital and Surgical Centre,30.7197017,76.7135743,Merged (OSM+National),Public/ Government,,Yes,694,0.0
ENT Hospital,30.679946,76.745555,Merged (OSM+National),0,0,No,117,0.0
Dr. Virendra Dhanlhar Mayo Health Care Super Speciality Hospital,30.6899841,76.7104702,Merged (OSM+National),Public/ Government,,No,910,0.0
Ashirwad Hospital,30.636688,76.814532,Merged (OSM+National),Public/ Government,,Yes,779,0.0
Swami Nursing Home,30.5872369,76.839135,Merged (OSM+National),0,0,No,155,0.0
Sethi Hospital,30.66385,76.828903,Merged (OSM+National),Public/ Government,,Yes,557,0.0
S.S Hospital,30.651605,76.822804,Merged (OSM+National),Public/ Government,,No,866,0.0
Dashmesh Hospital,30.6508669,76.8132014,Merged (OSM+National),Public/ Government,,Yes,1181,0.0
Arya Hospital,30.6575377,76.8222204,Merged (OSM+National),0,0,Yes,22,0.0
Charitable Hospital,30.6161316,76.8618749,Merged (OSM+National),0,0,Yes,194,0.0
Dr. R.C.P. Singh Memorial Charitable Hospital,30.6435549,76.8142945,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,204,0.0
"Dr. Lovkesh Mittal's Ear, Nose & Throat Hospital",30.5833914,76.8449817,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,49,0.0
Life Line Care,30.648143,76.8131531,Merged (OSM+National),0,0,No,194,0.0
Trinity Hospital & Medical Research Institute,30.647272,76.804755,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,246,0.0
Multispeciality Hospital,30.6382847,76.8158255,Merged (OSM+National),0,0,No,157,0.0
Amcare Hospital,30.667707,76.85319,Merged (OSM+National),Public/ Government,,Yes,1068,0.0
Doctor Square Multispeciality Hospital,30.6392258,76.815782,Merged (OSM+National),Private,Obstetrics and Gynaecology,Yes,88,0.0
Tara Hospital,30.6545228,76.8215102,Merged (OSM+National),0,0,Yes,216,0.0
Swastik Nursing Home,30.6428025,76.8260174,Merged (OSM+National),0,0,Yes,184,0.0
Osmed Healthcare Multispeciality Hospital,30.6477784,76.8129324,Merged (OSM+National),Private,Obstetrics and Gynaecology,Yes,107,0.0
Blessings Hospital,30.6552113,76.8449387,Merged (OSM+National),Public/ Government,,Yes,414,0.0
Ayush Nursing Home,30.583253,76.84724,Merged (OSM+National),0,0,No,95,0.0
Gavean Joti Hospital,30.6168631,76.8552082,Merged (OSM+National),Public/ Government,,Yes,745,0.0
Government Hospital,30.5802565,76.851827,Merged (OSM+National),Public/ Government,,Yes,461,0.0
Divine Physiotherapy and Neuro Rehabilitation Centre,30.647744,76.81294,Merged (OSM+National),Private,,No,136,0.0
City Hospital and Wellness Centre,30.5852131,76.8428735,Merged (OSM+National),Public/ Government,,Yes,303,0.0
Sri Ram Hospital & Advanced Eye Care Centre,30.5859796,76.8414147,Merged (OSM+National),0,0,Yes,204,0.0
Netra Eye Hospital,30.672544,76.855923,Merged (OSM+National),0,0,Yes,244,0.0
Divya Multi Speciality Hospital,30.5885804,76.8679095,Merged (OSM+National),0,0,No,204,0.0
Jai Shree Shyam Skin Hospital,30.6658174,76.8553252,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,87,0.0
Matsya Hospital,30.6629365,76.8182021,Merged (OSM+National),Public/ Government,,Yes,812,0.0
Amcare Hospital,30.639136,76.8169428,Merged (OSM+National),Public/ Government,,Yes,1080,0.0
Raheja Nursing Home,30.58614,76.8513807,Merged (OSM+National),0,0,No,65,0.0
Saini Hospital,30.6579782,76.8166108,Merged (OSM+National),Public/ Government,,Yes,819,0.0
Orthomax Bone & Joint Hospital,30.5877652,76.8473282,Merged (OSM+National),0,0,No,47,0.0
Mom and Me Hospital,30.6535126,76.8450721,Merged (OSM+National),Public/ Government,,No,1191,0.0
Vishwas Hospital,30.648273,76.8124699,Merged (OSM+National),Public/ Government,,Yes,940,0.0
V Care Hospital,30.6391081,76.8160794,Merged (OSM+National),0,0,No,96,0.0
Advamed Hospital,30.6454414,76.8227729,Merged (OSM+National),Public/ Government,,Yes,1161,0.0
Vision Eye Hospital,30.6660564,76.8253081,Merged (OSM+National),Public/ Government,,Yes,954,0.0
Dhuper Hospital,30.65212,76.8223652,Merged (OSM+National),Public/ Government,,Yes,819,0.0
Life Line Hospital,30.6686656,76.8134805,Merged (OSM+National),Public/ Government,,Yes,923,0.0
Santosh Hospital,30.6521662,76.8185704,Merged (OSM+National),Public/ Government,,Yes,503,0.0
Dr. Vivekananda Hospital,30.4793211,76.7951138,Merged (OSM+National),Public/ Government,,Yes,456,0.0
Indus International Hospital,30.556526,76.827367,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,115,0.0
Sai Baba Hospital,30.487441,76.819063,Merged (OSM+National),Public/ Government,,Yes,1080,0.0
Chawla Hospital,30.4805365,76.7975946,Merged (OSM+National),Public/ Government,,No,465,0.0
Malik Multi-Speciality Hospital,30.6729094,76.850997,Merged (OSM+National),0,0,Yes,158,0.0
Yukti Herbs,30.6533309,76.7349821,OSM-Only,,,No,219,
Air Force Hospital,30.7033952,76.7775151,Merged (OSM+National),Public/ Government,,Yes,843,0.0
Mental Health Institute,30.7042318,76.7751977,Merged (OSM+National),Public/ Government,,No,300,0.0
